FAMILY,STEP,DESCRIPTION,PARAMETERS,SIDE_DATA_SOURCE
mosfet,MEASURE VIA CD,Measure via critical dimension and verify target opening size.,CD‑SEM ±15 nm,exact
mosfet,DEPOSIT BARRIER METAL,Deposit barrier layer to prevent metal diffusion and improve adhesion.,PVD Ti 20 nm + TiN 30 nm,exact
mosfet,DEPOSIT METAL SEED,Deposit thin seed layer for subsequent metal fill.,PVD Cu 100 nm,exact
mosfet,FILL VIA METAL,"Fill vias with metal, controlling void formation and coverage.",Electroplate; current density 2 mA/cm²,exact
mosfet,CMP VIA FILL,Polish excess metal and leave filled contacts flush with the surface.,Slurry with H₂O₂; pressure 3 psi,synonym(CMP METAL)
mosfet,MEASURE CONTACT RESISTANCE,Measure contact resistance to confirm electrical quality of the filled vias.,Kelvin structure <10 Ω,exact
mosfet,DEPOSIT TOP METAL,Deposit first interconnect metal layer; monitor thickness and uniformity.,PVD Al‑0.5%Cu 600 nm,synonym(DEPOSIT METAL 1)
mosfet,ANNEAL METAL 1,Anneal metal layer to reduce stress and improve adhesion or grain structure.,400 °C forming gas 30 min,exact
mosfet,SPIN COAT PHOTORESIST,"Coat photoresist on wafer surface; record spin speed, resist thickness, and coating uniformity.",3000 rpm,exact
mosfet,SOFT BAKE,Soft bake the resist to remove solvent and stabilize the film for exposure.,95 °C,exact
mosfet,ALIGN MASK LEVEL 4,Align metal routing mask.,Overlay ±100 nm,exact
mosfet,EXPOSE LITHO LEVEL 4,Expose resist using the metal routing mask.,120 mJ/cm²,exact
mosfet,DEVELOP PHOTORESIST,Develop exposed resist to reveal the intended pattern.,TMAH 60 s,exact
mosfet,METAL PATTERN INSPECTION,"Inspect the metal pattern for opens, shorts, and CD variation.",CD ~500 nm,exact
mosfet,METAL ETCH,Etch metal according to the defined routing pattern.,"ICP Cl₂ 40 sccm, BCl₃ 20 sccm; 10 mTorr; RF 500 W",exact
mosfet,STRIP PHOTORESIST,Remove remaining photoresist after etch using wet or plasma strip.,O₂ plasma ash 400 W 5 min,exact
mosfet,CLEAN AFTER METAL ETCH,Clean residue and particles from the metal surface.,H₂SO₄:H₂O₂,exact
mosfet,MEASURE LINE WIDTH,Measure metal line width and spacing.,CD‑SEM ±50 nm,exact
mosfet,DEPOSIT PASSIVATION LAYER,Deposit passivation layer to protect the finished device from contamination and moisture.,"PECVD SiN; SiH₄ 50 sccm, NH₃ 100 sccm; 350 °C; 500 nm",synonym(DEPOSIT PASSIVATION)
mosfet,CURE PASSIVATION,Cure the passivation film to stabilize its mechanical and chemical properties.,400 °C N₂ 30 min,exact
mosfet,MEASURE PASSIVATION QUALITY,Check passivation thickness and coverage quality.,Ellipsometry ±5%,synonym(MEASURE PASSIVATION THICKNESS)
mosfet,OPEN BOND PAD WINDOW,Open bond pad windows to expose contact areas for probing or packaging.,Target 80 µm,synonym(OPEN PAD WINDOW)
mosfet,OPEN PAD WINDOW LITHO,Apply and pattern resist for pad opening.,Resist 1.5 µm,synonym(PAD WINDOW LITHO)
mosfet,DEVELOP PAD WINDOW,Develop exposed resist to reveal the intended pattern.,TMAH 60 s,synonym(DEVELOP PHOTORESIST)
mosfet,PASSIVATION ETCH PAD OPENING,Etch passivation layer at pad sites.,RIE CF₄ 40 sccm + O₂ 5 sccm,exact
mosfet,STRIP RESIST,Strip resist after poly etch and prepare for subsequent processing.,O₂ plasma,exact
mosfet,CLEAN PAD OPENING,Clean pad area to ensure low-resistance electrical access.,DI rinse + dilute HCl,exact
mosfet,MEASURE PAD OPENING,Verify pad opening dimensions and completeness.,Optical metrology,exact
mosfet,BACKSIDE CLEAN,Clean the wafer backside to remove particles and residues.,DI + megasonic,exact
mosfet,BACKSIDE GRIND,Thin the wafer backside by grinding to target thickness.,Mechanical grind to 250 µm,exact
mosfet,MEASURE THICKNESS,Measure starting wafer thickness across center and edge points to confirm incoming spec.,"Capacitive gauge, 725 µm ±10 µm",exact
mosfet,BACKSIDE ETCH CLEAN,Remove grinding damage and residues from the backside.,Wet etch HNA (HF:HNO₃:CH₃COOH) 2 min,exact
mosfet,BACKSIDE RINSE,Rinse backside to eliminate particles and etch byproducts.,DI cascade rinse,exact
mosfet,BACKSIDE DRY,Dry the wafer thoroughly after backside wet processing.,N₂ spin dry,exact
mosfet,BACKSIDE METALLIZATION PREP,"Prepare backside for metal deposition, including surface activation.",Ar plasma 200 W 60 s,exact
mosfet,DEPOSIT BACKSIDE METAL,Deposit backside metal to support ohmic contact or thermal performance.,PVD Ti 50 nm / Ni 200 nm / Ag 500 nm,exact
mosfet,BACKSIDE ANNEAL,Anneal backside metallization to improve adhesion and contact quality.,400 °C N₂ 20 min,exact
mosfet,MEASURE BACKSIDE CONTACT,Measure backside contact quality and sheet resistance.,Sheet resistance <0.1 Ω/□,exact
mosfet,FINAL CLEAN,Perform final clean before electrical and visual inspection.,DI rinse + N₂ dry,exact
mosfet,FINAL THICKNESS MEASURE,Measure final thickness to confirm customer specification.,250 µm ±10 µm,exact
mosfet,FINAL GEOMETRY CHECK,"Inspect wafer geometry, warp, bow, and edge exclusion.",Warp <40 µm,exact
mosfet,FINAL CD INSPECTION,Final Cd Inspection (process step),In-line measurement/inspection; spec-limit gating,category(METROLOGY)
mosfet,FINAL PARTICLE INSPECTION,Perform final particle scan before electrical testing.,<10 particles ≥0.2 µm,exact
mosfet,PARAMETRIC TEST,Run parametric electrical tests to verify key device characteristics.,25 °C probe station,exact
mosfet,LEAKAGE TEST,Check leakage current to identify defective devices or process issues.,Ioff <10 nA,exact
